Season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
2000,1,1,38,24,8,6,79,31,48,80,Qualification for the Champions League first group stage
2000,2,2,38,20,10,8,63,38,25,70,Qualification for the Champions League first group stage
2000,3,3,38,20,9,9,71,39,32,69,Qualification for the Champions League third qualifying round[a]
2000,6,4,38,17,10,11,68,45,23,61,Qualification for the UEFA Cup first round[a]
2000,12,6,38,13,10,15,47,54,-7,49,Not Applicable
2000,18,5,38,8,10,20,41,65,-24,34,Relegation to the Football League First Division
2001,1,2,38,26,9,3,79,36,43,87,Qualification for the Champions League first group stage
2001,2,3,38,24,8,6,67,30,37,80,Qualification for the Champions League first group stage
2001,3,1,38,24,5,9,87,45,42,77,Qualification for the Champions League third qualifying round
2001,6,4,38,17,13,8,66,38,28,64,Qualification for the UEFA Cup first round[b]
2001,9,6,38,14,8,16,49,53,-4,50,Not Applicable
2002,1,1,38,25,8,5,74,34,40,83,Qualification for the Champions League group stage
2002,2,2,38,23,9,6,85,42,43,78,Qualification for the Champions League group stage
2002,4,4,38,19,10,9,68,38,30,67,Qualification for the Champions League third qualifying round
2002,5,3,38,18,10,10,61,41,20,64,Qualification for the UEFA Cup first round[a]
2002,9,5,38,15,6,17,47,54,-7,51,Qualification for the UEFA Cup qualifying round[c]
2002,10,6,38,14,8,16,51,62,-11,50,Not Applicable
2003,1,2,38,26,12,0,73,26,47,90,Qualification for the Champions League group stage
2003,2,4,38,24,7,7,67,30,37,79,Qualification for the Champions League group stage
2003,3,1,38,23,6,9,64,35,29,75,Qualification for the Champions League third qualifying round[a]
2003,4,3,38,16,12,10,55,37,18,60,Qualification for the Champions League third qualifying round[a]
2003,14,6,38,13,6,19,47,57,-10,45,Not Applicable
2003,16,5,38,9,14,15,55,54,1,41,Not Applicable
2004,1,4,38,29,8,1,72,15,57,95,Qualification for the Champions League group stage
2004,2,2,38,25,8,5,87,36,51,83,Qualification for the Champions League group stage
2004,3,1,38,22,11,5,58,26,32,77,Qualification for the Champions League third qualifying round
2004,5,3,38,17,7,14,52,41,11,58,Qualification for the Champions League first qualifying round[a]
2004,8,5,38,13,13,12,47,39,8,52,Not Applicable
2004,9,6,38,14,10,14,47,41,6,52,Not Applicable
2005,1,4,38,29,4,5,72,22,50,91,Qualification for the Champions League group stage[a]
2005,2,1,38,25,8,5,72,34,38,83,Qualification for the Champions League group stage[a]
2005,3,3,38,25,7,6,57,25,32,82,Qualification for the Champions League third qualifying round
2005,4,2,38,20,7,11,68,31,37,67,Qualification for the Champions League third qualifying round
2005,5,6,38,18,11,9,53,38,15,65,Qualification for the UEFA Cup first round
2005,15,5,38,13,4,21,43,48,-5,43,Not Applicable
2006,1,1,38,28,5,5,83,27,56,89,Qualification for the Champions League group stage
2006,2,4,38,24,11,3,64,24,40,83,Qualification for the Champions League group stage
2006,3,3,38,20,8,10,57,27,30,68,Qualification for the Champions League third qualifying round
2006,4,2,38,19,11,8,63,35,28,68,Qualification for the Champions League third qualifying round
2006,5,6,38,17,9,12,57,54,3,60,Qualification for the UEFA Cup first round[a]
2006,14,5,38,11,9,18,29,44,-15,42,Not Applicable
2007,1,1,38,27,6,5,80,22,58,87,Qualification for the Champions League group stage
2007,2,4,38,25,10,3,65,26,39,85,Qualification for the Champions League group stage
2007,3,2,38,24,11,3,74,31,43,83,Qualification for the Champions League third qualifying round
2007,4,3,38,21,13,4,67,28,39,76,Qualification for the Champions League third qualifying round
2007,9,5,38,15,10,13,45,53,-8,55,Qualification for the UEFA Cup first qualifying round[b]
2007,11,6,38,11,13,14,66,61,5,46,Qualification for the UEFA Cup first round[c]
2008,1,1,38,28,6,4,68,24,44,90,Qualification for the Champions League group stage[a]
2008,2,3,38,25,11,2,77,27,50,86,Qualification for the Champions League group stage[a]
2008,3,4,38,25,8,5,68,24,44,83,Qualification for the Champions League group stage[a]
2008,4,2,38,20,12,6,68,37,31,72,Qualification for the Champions League play-off round
2008,8,6,38,14,9,15,45,45,0,51,Not Applicable
2008,10,5,38,15,5,18,58,50,8,50,Not Applicable
2009,1,4,38,27,5,6,103,32,71,86,Qualification for the Champions League group stage
2009,2,1,38,27,4,7,86,28,58,85,Qualification for the Champions League group stage
2009,3,2,38,23,6,9,83,41,42,75,Qualification for the Champions League group stage
2009,4,6,38,21,7,10,67,41,26,70,Qualification for the Champions League play-off round
2009,5,5,38,18,13,7,73,45,28,67,Qualification for the Europa League play-off round[a]
2009,7,3,38,18,9,11,61,35,26,63,Qualification for the Europa League third qualifying round[b]
