Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Latitude,Longitude
1,Italy,7,4,3,0,12,6,6,11,41.87194,12.56738
2,West Germany,7,3,2,2,12,10,2,8,51.165691,10.451526
3,Poland,7,3,3,1,11,5,6,9,51.919438,19.145136
4,France,7,3,2,2,16,12,4,8,46.603354,1.888334
5,Brazil,5,4,0,1,15,6,9,8,-14.235004,-51.92528
6,England,5,3,2,0,6,1,5,8,52.355518,-1.17432
7,Soviet Union,5,2,2,1,7,4,3,6,55.755826,37.6173
8,Austria,5,2,1,2,5,4,1,5,47.516231,14.550072
9,Northern Ireland,5,1,3,1,5,7,−2,5,54.787715,-6.492314
10,Belgium,5,2,1,2,3,5,−2,5,50.503887,4.469936
11,Argentina,5,2,0,3,8,7,1,4,-38.416097,-63.616672
12,Spain,5,1,2,2,4,5,−1,4,40.463667,-3.74922
13,Algeria,3,2,0,1,5,5,0,4,28.033886,1.659626
14,Hungary,3,1,1,1,12,6,6,3,47.162494,19.503304
15,Scotland,3,1,1,1,8,8,0,3,56.490671,-4.202646
16,Yugoslavia,3,1,1,1,2,2,0,3,44.016521,21.005859
17,Cameroon,3,0,3,0,1,1,0,3,7.369722,12.354722
18,Honduras,3,0,2,1,2,3,−1,2,15.199999,-86.241905
19,Czechoslovakia,3,0,2,1,2,4,−2,2,49.817492,15.472962
20,Peru,3,0,2,1,2,6,−4,2,-9.189967,-75.015152
21,Kuwait,3,0,1,2,2,6,−4,1,29.31166,47.481766
22,Chile,3,0,0,3,3,8,−5,0,-35.675147,-71.542969
23,New Zealand,3,0,0,3,2,12,−10,0,-40.900557,174.885971
24,El Salvador,3,0,0,3,1,13,−12,0,13.794185,-88.89653
