YEAR,HOST,CHAMPION,RUNNER UP,THIRD PLACE,TEAMS,MATCHES PLAYED,GOALS SCORED,AVG GOALS PER GAME,Latitude,Longitude
1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6,-38.416097,-63.616672
1934,Italy,Italy,Czechoslovakia,Germany,16,17,70,4.1,49.817492,15.472962
1938,France,Italy,Hungary,Brazil,15,18,84,4.7,47.162494,19.503304
1950,Brazil,Uruguay,Brazil,Sweden,13,22,88,4.0,-14.235004,-51.92528
1954,Switzerland,West Germany,Hungary,Austria,16,26,140,5.4,47.162494,19.503304
1958,Sweden,Brazil,Sweden,France,16,35,126,3.6,60.128161,18.643501
1962,Chile,Brazil,Czechoslovakia,Chile,16,32,89,2.8,49.817492,15.472962
1966,England,England,West Germany,Portugal,16,32,89,2.8,51.165691,10.451526
1970,Mexico,Brazil,Italy,West Germany,16,32,95,3.0,41.87194,12.56738
1974,West Germany,West Germany,Netherlands,Poland,16,38,97,2.6,52.132633,5.291266
1978,Argentina,Argentina,Netherlands,Brazil,16,38,102,2.7,52.132633,5.291266
1982,Spain,Italy,West Germany,Poland,24,52,146,2.8,51.165691,10.451526
1986,Mexico,Argentina,West Germany,France,24,52,132,2.5,51.165691,10.451526
1990,Italy,West Germany,Argentina,Italy,24,52,115,2.2,-38.416097,-63.616672
1994,United States,Brazil,Italy,Sweden,24,52,141,2.7,41.87194,12.56738
1998,France,France,Brazil,Croatia,32,64,171,2.7,-14.235004,-51.92528
2002,"South Korea, Japan",Brazil,Germany,Turkey,32,64,161,2.5,51.165691,10.451526
2006,Germany,Italy,France,Germany,32,64,147,2.3,46.603354,1.888334
2010,South Africa,Spain,Netherlands,Germany,32,64,145,2.3,52.132633,5.291266
2014,Brazil,Germany,Argentina,Netherlands,32,64,171,2.7,-38.416097,-63.616672
2018,Russia,France,Croatia,Belgium,32,64,169,2.6,45.1,15.2
2022,Qatar,Argentina,France,Croatia,32,64,172,2.7,46.603354,1.888334
