YEAR,HOST,CHAMPION,RUNNER UP,THIRD PLACE,TEAMS,MATCHES PLAYED,GOALS SCORED,AVG GOALS PER GAME,Latitude,Longitude
1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6,37.09024,-95.712891
1934,Italy,Italy,Czechoslovakia,Germany,16,17,70,4.1,51.165691,10.451526
1938,France,Italy,Hungary,Brazil,15,18,84,4.7,-14.235004,-51.92528
1950,Brazil,Uruguay,Brazil,Sweden,13,22,88,4.0,60.128161,18.643501
1954,Switzerland,West Germany,Hungary,Austria,16,26,140,5.4,47.516231,14.550072
1958,Sweden,Brazil,Sweden,France,16,35,126,3.6,46.603354,1.888334
1962,Chile,Brazil,Czechoslovakia,Chile,16,32,89,2.8,-35.675147,-71.542969
1966,England,England,West Germany,Portugal,16,32,89,2.8,39.399872,-8.224454
1970,Mexico,Brazil,Italy,West Germany,16,32,95,3.0,51.165691,10.451526
1974,West Germany,West Germany,Netherlands,Poland,16,38,97,2.6,51.919438,19.145136
1978,Argentina,Argentina,Netherlands,Brazil,16,38,102,2.7,-14.235004,-51.92528
1982,Spain,Italy,West Germany,Poland,24,52,146,2.8,51.919438,19.145136
1986,Mexico,Argentina,West Germany,France,24,52,132,2.5,46.603354,1.888334
1990,Italy,West Germany,Argentina,Italy,24,52,115,2.2,41.87194,12.56738
1994,United States,Brazil,Italy,Sweden,24,52,141,2.7,60.128161,18.643501
1998,France,France,Brazil,Croatia,32,64,171,2.7,45.1,15.2
2002,"South Korea, Japan",Brazil,Germany,Turkey,32,64,161,2.5,38.963745,35.243322
2006,Germany,Italy,France,Germany,32,64,147,2.3,51.165691,10.451526
2010,South Africa,Spain,Netherlands,Germany,32,64,145,2.3,51.165691,10.451526
2014,Brazil,Germany,Argentina,Netherlands,32,64,171,2.7,52.132633,5.291266
2018,Russia,France,Croatia,Belgium,32,64,169,2.6,50.503887,4.469936
2022,Qatar,Argentina,France,Croatia,32,64,172,2.7,45.1,15.2
